index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
5059,,Bontempelli,"Luigi,",,,s. Luca,calle di mezzo,4172,,luca,San Marco,POINT (12.33444406909211 45.436749652086746),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,300
5060,,Borgato,"Luigi,",,,ss. Apostoli,rio terra,4659,,apostoli,Cannaregio,POINT (12.337593390804507 45.441526342212356),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,300
5061,,Bovardi,"Luigi,",,,s. M. del Giglio,campo s. Fantino,2000,,maria del giglio,San Marco,POINT (12.334394218864105 45.433684185166015),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,300
5062,,Brull,Ignazio,,"rapp. da Ermanno Scharl,",s. Maria del Giglio,calle della Verona,1901,,maria del giglio,San Marco,POINT (12.333692147747655 45.434184498453504),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,300
5063,,Canali,"Camillo,",,,s. Marco,calle dei preti s. Moisé,1208,,marco,San Marco,POINT (12.335891016269711 45.432906671176866),cadaster,speditori,Shippers,Professioni trasporti,Transport professions,300
5064,,Cicconi;Gentille,G.;D.,,"rapp. da Gio. Domenico Cicconi e Giacomo Gentille, e p. p. da Luigi Planck,",s. Maria Formosa,calle del Console,6240,,maria formosa,Castello,POINT (12.341860220726398 45.43806529641523),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,300
5065,,Cigogna,"Eugenio,",,,ss. Gio. e Paolo,calle dei morti,6814,,giovanni e paolo,Castello,POINT (12.341201415880306 45.438931283005616),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,300
5066,,Cuniali,Bortol.; Maria,,,ss. Gio. e Paolo,fondam. s. Gio. Laterano,6391,,giovanni e paolo,Castello,POINT (12.343940983495553 45.43761065504698),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,300
5067,,"Giussani,",Ghinzani,Comp.,"rapp. da Giussani Gaetano, Ghinzani Enrico e Perelli Paradisi Napoleone,",s. Canciano,ponte dell' Olio,5786,,canciano,Cannaregio,POINT (12.336974069973602 45.43853203036301),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5068,,Leiss.,"Josophat; Fortunato,",,,s. Zaccaria,fond. s. Severo,5001,,zaccaria,Castello,POINT (12.342658793030711 45.4371699206056),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5069,,Loisement;Stellot,,,"rapp. da Augusto Loisement,",s. Salvatore,calle bombaseri,5109,,salvador,San Marco,POINT (12.33598612635773 45.437285984421365),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5070,,Loisement;Stellot,,,"rapp. da Augusto Loisement,",s. Salvatore,riva del ferro,5122,,salvador,San Marco,POINT (12.335655436586531 45.437444550392954),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5071,,Mayer,Francesco,Comp.,"rapp. da Mayer Francesco,","s, Zaccaria",fond. s. Severo,5006,,zaccaria,Castello,POINT (12.34290515912689 45.43677142316966),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5072,,Pietroboni,Faustino,Comp.,"rapp. da Faustino Pietroboni e Bini Vincenzo,",s. Luca,corte dei preti,1000,,luca,San Marco,POINT (12.337149067073362 45.4355901596352),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5073,,Pruckmayer,"Cristoforo,",,,s. Canciano,campo,6053,,canciano,Cannaregio,POINT (12.338907373149397 45.440066560873525),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5074,,Rosa,"Valentino,",,,ss. Gio. e Paolo,fond. s. Gio. Laterano,6386,,giovanni e paolo,Castello,POINT (12.343098140969094 45.438219071626314),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5075,,Venuti,"Giuseppe; Stufferia,",,,s. Silves.,sottop. Galizai,1029,,silvestro,San Polo,POINT (12.333368895889569 45.43803733708043),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5076,,Vivante,Raffaele;Giacomo,,,"s, Zaccaria",campo ss. Filippo e Giacomo,4475,,zaccaria,Castello,POINT (12.342293065178907 45.43548858204202),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5077,,Zucchelli,Gaetano,Comp.,"rapp. da Zucchelli, Gaetano e p. p. da Diana Federico,",s. Gio. in Bragora,,3382,,giovanni in bragora,Castello,POINT (12.344646645426254 45.4362164945802),contemporary,speditori,Shippers,Professioni trasporti,Transport professions,301
5078,,Cesare,"Michiele,",,,s. Canciano,salizz. s. Gio. Grisostomo,5875,,canciano,Cannaregio,POINT (12.337813089220129 45.43915249075892),contemporary,spunghe(negoziante di),,,,301
5079,,Palesa,"Antonio,",,,"ss, Gerv. e Protasio",alla Carita,1045,,gervasio e protasio,Cannaregio,POINT (12.323144702799183 45.44542660298969),contemporary,stampatori in tela e cotonine,canvas and cotton printers,Filiera del libro e dell’arte ,Book and art supply chain,301
5080,,Torri,"Angelo,",,,s. M. Gloriosa dei Frari,camp. del librer s.Polo,1994,,maria gloriosa dei frari,San Polo,POINT (12.330403391652617 45.43710518764902),contemporary,stampatori in tela e cotonine,canvas and cotton printers,Filiera del libro e dell’arte ,Book and art supply chain,301
5081,oggetti di ant.,Bianchi,"David,",,,s. Marziale,fond. e ponte dei Servi,2382,,marziale,Cannaregio,POINT (12.33141172584414 45.4438061124712),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,301
5082,,Brizeghel,"Giovanni,",,,s. Marco,procuratie veechie,137,,marco,San Marco,POINT (12.338575975365325 45.434611914346135),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5083,,Engertsberger,"Luigi,",,,s. Marco,salizz. s.Moisé,1491,,marco,San Marco,POINT (12.336380010392771 45.43331987212318),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5084,oggetti. di antic.,Grotti,Pietro; Erede,,di Alvise,s. Silvestro,calle del Paradiso,761,,silvestro,San Polo,POINT (12.333741491545323 45.43786861776681),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5085,,Habnit,"Giuseppe; Antonio,",,,s. Marco,procuratie vecchie,102,,marco,San Marco,POINT (12.337605351122804 45.43419211027626),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5086,,Kier,"Giuseppe,",,,s. Marco,merceria dell’ qrologio,263,,marco,San Marco,POINT (12.338575343663145 45.43523886655287),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5087,oggetti diant.,Marini,"Spiridione,",,,s. M. del Rosario,campo s. Vio,729,,madonna del rosario,Dorsoduro,POINT (12.330347703253958 45.430848473542625),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5088,,Milani,"Giuseppe,",,,s. Marco,procuratie nuove,77,,marco,San Marco,POINT (12.337274420979776 45.433597729957995),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5089,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,72,,marco,San Marco,POINT (12.33710293533707 45.43355274896968),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5089,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,72,,marco,San Marco,POINT (12.33710293533707 45.43355274896968),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5089,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,72,,marco,San Marco,POINT (12.33710293533707 45.43355274896968),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5090,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,73,,marco,San Marco,POINT (12.337312965236686 45.43418371298497),cadaster,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5090,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,73,,marco,San Marco,POINT (12.337312965236686 45.43418371298497),cadaster,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5090,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,73,,marco,San Marco,POINT (12.337312965236686 45.43418371298497),cadaster,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5091,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,74,,marco,San Marco,POINT (12.337312965236686 45.43418371298497),cadaster,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5091,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,74,,marco,San Marco,POINT (12.337312965236686 45.43418371298497),cadaster,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5091,,Miiaster,"Ermanno; Federico,",,,s. Marco,procuratie nuove,74,,marco,San Marco,POINT (12.337312965236686 45.43418371298497),cadaster,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5092,oggetti di ant.,Porri,"Gio; Battista,",,,s. Marco,spadaria,690,,marco,San Marco,POINT (12.338932064669136 45.43534941277502),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5093,oggetti di ant.,Ricchetti,"Consiglio,",,,ss. Erm. e Fortunato,corte Erizzo,2137,,ermargora e fortunato,Cannaregio,POINT (12.33043794198048 45.44263852697692),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5094,oggetti di ant.,Rietti,"David,",,,s. Marziale,ghetto nuovo,2910,,marziale,Cannaregio,POINT (12.327218063193065 45.44528301055106),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5095,,Ripamonti; Carpano, Paolo,,,s. Marco,procuratie vechie,90,,marco,San Marco,POINT (12.337364435438326 45.4340920233254),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5096,oggetti di ant.,Roncan,"Giovanni,",,,s. Gio. in Bragora,calle del Cagnoletto,4079,,giovanni in bragora,Castello,POINT (12.347761335605902 45.433970876513904),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5097,,Schübeler.,"Giulio,",,,s.Marco,procuratie vecchie,127,,marco,San Marco,POINT (12.33824227727151 45.43446957733914),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5098,,Testolini,"Eugenio,",,,s. Marco,procuratie vecchie,111,,marco,San Marco,POINT (12.337745275519595 45.434252061280894),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5099,"oggelti di ant. e quadri,",Tironi,"Pier; Antonio,",,,s. M. del Carmine,calle del traghetto,2795,,maria dei carmini,Dorsoduro,POINT (12.326697972294374 45.43317538984222),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5100,oggetti di ant.,Vallardi,"Paolo,",,,s. Marco,bocca di piazza,1231,,marco,San Marco,POINT (12.336478775730887 45.433798562829395),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5101,oggetti di ant.,Usigli,"Leone,",,,s. Marziale,fond. Ormesini,1803,,marziale,Cannaregio,POINT (12.329166097509143 45.44364951366757),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5102,oggetti di ant. e fabb. bollini cartacei.,Zen,"Antonio,",,,s. Canciano,calle Tron,1959,,canciano,Cannaregio,POINT (12.329994724016217 45.44440482855069),contemporary,"stampe incise, quadri, oggetti di belle arti e di antichita’(negozianti e venditori di)","engraved prints, paintings, fine art objects",Articoli per l’arte,Art supplies,302
5103,vend.,Lazzari,"Gaetano,",,,s. M. del Rosario,calle dello squero,30,,madonna del rosario,Dorsoduro,POINT (12.334076395295046 45.42917119849099),cadaster,stuoje di pavera e di brulla (,mats of marsh plants,Articoli per la casa,Household items,302
5104,fabb. e vend.,Olivotti,Luigi,,,s. M. Gloriosa dei Frari,calle Bernardo,2185,,maria gloriosa dei frari,San Polo,POINT (12.329555513466428 45.4385594375548),contemporary,stuoje di pavera e di brulla (,mats of marsh plants,Articoli per la casa,Household items,302
5105,,Bellini,"Angelo,",,,ss. Gerv.e Prot.,fond. Zattere,1510,,gervasio e protasio,Cannaregio,POINT (12.325840517760948 45.44362636188508),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5106,,Bellini,"Salvatore,",,,ss. Erm. e Fort.,calle Loredana,2703,,ermargora e fortunato,Cannaregio,POINT (12.329154332900627 45.44517942166001),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5107,,Bonin,"Giacomo,",,,ss. Erm. e Fort.,rioterra dietro la Chiesa,1777,,ermargora e fortunato,Cannaregio,POINT (12.328919656410138 45.443091784156785),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5108,,Carati,"Giuseppe,",,,s. M. Glor. dei Frari,sottop. e calle nuova,2444,,maria gloriosa dei frari,San Polo,POINT (12.326035092842698 45.4385501251177),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5109,,Cellante,"Giovanni,",,,s. Simeone Prof.,fond. dei Tolentini,223,,simeon profeta,Santa Croce,POINT (12.321424949609165 45.438634911829794),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5110,,Dall’ Ore,"Giovanni,",,,ss. Erm. e Fort,camp. del Remer,1577,,ermargora e fortunato,Cannaregio,POINT (12.326988191538849 45.44277411008222),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5111,,Da Par,"Pietro,",,,ss. Gerv. e Prot.,fond. zattere,1418,,gervasio e protasio,Cannaregio,POINT (12.328740895072665 45.44440504984279),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5112,,Dorigo,"Gio.; Antonio,",,,s. Pantaleone,camp. delle mosche,21,,pantalon,Dorsoduro,POINT (12.334463817143961 45.42976607542438),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5113,,Dorigo,"Stefano,",,,s. Nicola da Tolen.,fond. Minotto,135,,nicola da tolentino,Santa Croce,POINT (12.32256365836667 45.43668803752562),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5114,,Fadiga,"Ignazio,",,,"s, Pantaleone",calle Foscari,3861,,pantalon,Dorsoduro,POINT (12.325992722522445 45.4349602071851),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5115,,Fadiga,"Vincenzo,",,,s. Stefano,ramo del pozzetto s. Maurizio.,2699,,stefano,San Marco,POINT (12.328587303476809 45.43358790896336),cadaster,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5116,,Fadiga,"Vincenzo,",,,s. Stefano,calle del Tagliapietra,2705,,stefano,San Marco,POINT (12.328620503887503 45.43373441157608),cadaster,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5117,,Gerardi,"Michele,",,,s. M. Gloriosa dei frari ,rioterra s. Toma,2543,,maria gloriosa dei frari,San Polo,POINT (12.327074511584227 45.43771801303528),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5118,,Manfrin,"Giuseppe,",,,s. Marziale,calle del capitello,3153,,marziale,Cannaregio,POINT (12.327866802204015 45.44756972712795),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5119,,Monello,"Massimiliano,",,,s. M. Glor. dei Frari,ramo Doanetta,2680,,maria gloriosa dei frari,San Polo,POINT (12.328319548867013 45.43700684120179),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5120,,Monticelli,"Luigi,",,,s. Geremia,fond. Savorg,476,,geremia,Cannaregio,POINT (12.32263227230774 45.44423768686204),interpolation,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5121,,Parocco,"Giuseppe,",,,s. Nicola da Tolent.,fond. Malcanton,3630,,nicola da tolentino,Santa Croce,POINT (12.3204583 45.435846166666664),cadaster,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,292
5121,,Parocco,"Giuseppe,",,,s. Nicola da Tolent.,fond. Malcanton,3630,,nicola da tolentino,Santa Croce,POINT (12.3204583 45.435846166666664),cadaster,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5122,,Pompeo,Giovanni.,,,s. Marziale,corte Zappa,2822,,marziale,Cannaregio,POINT (12.327599419579483 45.44616208966941),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5123,,Rogantin,"Domenico,",,,s. Giacomo dall’ Orio,camp. della Comare,1322,,giacomo dall'orio,Santa Croce,POINT (12.327196448745369 45.441797881959374),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5124,,Rossi,"Francesco,",,,s. M. del Carmine,fond. del scalctter,2902,,maria dei carmini,Dorsoduro,POINT (12.32251589874011 45.4337685582603),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5125,,Rumor,"Francesco,",,,s. Giacomo dall’ Orio,camp. delle stroppe,1039,,giacomo dall'orio,Santa Croce,POINT (12.326718055297196 45.43938672072387),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5126,,Sacchetto,"Domenico,",,,s. M. del Rosario,calle della Madonna,3607,,madonna del rosario,Dorsoduro,POINT (12.322937287991621 45.4358197762825),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5127,,Sartorello,"Giovanni,",,,s. Giac. dall’ Orio,fond. della Chiesa,1677,,giacomo dall'orio,Santa Croce,POINT (12.327357607457595 45.44132520403339),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5128,,Spiera,"Angelo,",,,s. Salvatore,calle del Tagliapietra,4898,,salvador,San Marco,POINT (12.336785938670603 45.43601699478748),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5129,,Spicra,Giacomo,,"q. Domenico,",s. Canciano.,sott. e corte Visciera,113,,canciano,Cannaregio,POINT (12.322365606523402 45.441655448760436),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5130,,Spicra,Giacomo,,,S. Marziale,fond. della Misericordia,3588,,marziale,Cannaregio,POINT (12.33360390885062 45.44371916644952),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5131,,Spiera,Giacomo,,"q. Giuseppe,",s. Marziale,,3588,,marziale,Cannaregio,POINT (12.33360390885062 45.44371916644952),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5132,,Squario,"Giovanni,",,,s. M. del Carmine,calle Bonazza,2515,,maria dei carmini,Dorsoduro,POINT (12.32047469704484 45.434823628745704),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5133,,Tagliapictra,"Vincenzo,",,,s. Nicola da Tolent.,fond. del Gaffaro,3533,,nicola da tolentino,Santa Croce,POINT (12.321626558422022 45.436820805738336),interpolation,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5134,,Voltolina,"Vincenzo,",,,s. M. del Carmine,corte del Tagliapietra,2718,,maria dei carmini,Dorsoduro,POINT (12.324040707210454 45.43239715432646),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5135,,Zambon,Vincenzo;,,,ss. Ermag. e Fort.,camp. Lombardo,1959,,ermargora e fortunato,Cannaregio,POINT (12.329994724016217 45.44440482855069),contemporary,tagliapietra,stone cutters,Professioni liberali - edilizia e costruzione,Liberal professions - building and construction,303
5136,,Benvenuti,"Giovanni,",,,s. Silvestro,ruga vecchia,781,,silvestro,San Polo,POINT (12.33387726032252 45.43839879858068),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5137,,Bertoli,"Giuseppe,",,,s. Marco,calle dei fabbri,829,,marco,San Marco,POINT (12.337378447579317 45.43479507632675),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5138,,Biaggi,"Ortensio,",,,s. Pantaleone,ramo camp. delle mosche,53,,pantalon,Dorsoduro,POINT (12.334096658098016 45.429598628931444),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5139,,Boldaria,"Francesco,",,,s. Zaccaria,campo ss. Filippo e Giacomo,4334,,zaccaria,Castello,POINT (12.341163140852832 45.435121513630015),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5140,,Chiurlotto,"Bernardo,",,,s. Felice,campo s. Sofia,4196,,felice,Cannaregio,POINT (12.334757569268604 45.44081870965885),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5141,,Costola,"Domenico,",,,s.M. del Giglio,calle lunga s. Moisé,2397,,maria del giglio,San Marco,POINT (12.334219864230139 45.43289895799536),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5142,,Lagrecacolonna,"Enrico,",,,s. Stefano,campo s. Maurizio,2605,,stefano,San Marco,POINT (12.3317097896328 45.43292371552738),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5143,,Manfren,"Giorgio,",,,s. Marco,spaderia,662,,marco,San Marco,POINT (12.339085563493862 45.43521311286672),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5143,,Manfren,"Giorgio,",,,s. Marco,spaderia,662,,marco,San Marco,POINT (12.339085563493862 45.43521311286672),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5144,,Manfren,"Giorgio,",,,s. Marco,spaderia,663,,marco,San Marco,POINT (12.339075087864769 45.43522782560166),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5144,,Manfren,"Giorgio,",,,s. Marco,spaderia,663,,marco,San Marco,POINT (12.339075087864769 45.43522782560166),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5145,,Michieli,"Antonio,",,,s. Marco,rioterra delle Colonne,987,,marco,San Marco,POINT (12.337185241113719 45.43527291973378),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5146,,Pantaleo,,"fratelli,",,s. M. Glor. dei Frari,ponte s. Toma,2806,,maria gloriosa dei frari,San Polo,POINT (12.327951265623511 45.43616229241844),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5147,,Prendini,"Gio.; Battista,",,,s. M. Formosa,campo s. Lio,5661,,maria formosa,Castello,POINT (12.338589467186775 45.43767755051661),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5148,,Quaggetto,"Stefano,",,,s. Stefano,sotto i chiostri,3542,,stefano,San Marco,POINT (12.334905549647535 45.435106121395194),cadaster,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5149,,Stainer,"Domenico,",,,s. Luca,fond. del Carbon.,4136,,luca,San Marco,POINT (12.333773950562863 45.436499248223846),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5150,,Tagliapietra,"Andrea,",,,ss. Apostoli,campo,4463,,apostoli,Cannaregio,POINT (12.336796352737387 45.44032278248721),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5151,,Taolin,"Antonio,",,,ss. Ermag. e Fortunato,rioterré,2081,,ermargora e fortunato,Cannaregio,POINT (12.33062605739051 45.44347368060346),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5152,,Tiepolo,"Giuseppe,",,,s. Marco,campo delta guerra,522,,marco,San Marco,POINT (12.338931847383229 45.436083312235645),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5153,,Valle,"Paolo,",,,s. M. Formosa,campo s. Marina,6099,,maria formosa,Castello,POINT (12.339587203290227 45.43836507348878),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5154,,Vecechina; Andrighetti,"Lucrezia; Antonio,",,,s. Marco,calle del Ridotto,1351,,marco,San Marco,POINT (12.336389162035372 45.433203679024984),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5155,,Veronese,"Gio.; Battista,",,,s. M. del Giglio,campo s. Fantin,1915,,maria del giglio,San Marco,POINT (12.333777315836794 45.434051557608015),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5156,,Visentini,"Marco,",,,s. Luca,calle della Chiesa,4026,,luca,San Marco,POINT (12.334330367722474 45.435523750794),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5157,,Zanardi,"Carlo,",,,s. M. del Carmine,campo s. Barnaba,3768,,maria dei carmini,Dorsoduro,POINT (12.324702579004054 45.436102598775115),contemporary,tappezzieri,upholsterers,Articoli per la casa,Household items,304
5158,vend.,Chitarin,"Lorenzo,",,,s. Salvatore,Merceria,5027,,salvador,San Marco,POINT (12.336648715564369 45.43689867843009),contemporary,tele cerate,waxed canvases,Articoli per la casa,Household items,304
5159,,Rocchi,Domenico.,,,s. Nicola da Tolentino,campo s. Andrea,480,,nicola da tolentino,Santa Croce,POINT (12.31797528005458 45.43861507800068),interpolation,tele cerate,waxed canvases,Articoli per la casa,Household items,304
